| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0027_0013_158500_to_170000 | 156 | 11.50 | 0.186 | 0.192 | 0.109 | 0.109 |
| STT_GR_0027_0017_193100_to_201400 | 156 | 8.30 | 0.305 | 0.260 | 0.143 | 0.136 |
| STT_GR_0027_0043_468200_to_477900 | 155 | 9.70 | 0.255 | 0.405 | 0.320 | 0.288 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0027_0026_278900_to_290500 | 166 | 11.60 | 0.339 | 0.376 | 0.139 | 0.139 |
| STT_GR_0027_0052_542900_to_554400 | 166 | 11.50 | 0.380 | 0.205 | 0.229 | 0.217 |
| STT_GR_0027_0053_556200_to_565000 | 165 | 8.80 | 0.209 | 0.239 | 0.196 | 0.190 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0027_0018_204200_to_218400 | 221 | 14.20 | 0.311 | 0.333 | 0.201 | 0.196 |
| STT_GR_0027_0036_374300_to_390300 | 228 | 16.00 | 0.145 | 0.150 | 0.185 | 0.167 |
| STT_GR_0027_0047_498400_to_511400 | 228 | 13.00 | 0.367 | 0.279 | 0.159 | 0.159 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0027_0003_62700_to_65200 | 32 | 2.50 | 0.333 | 0.467 | 0.400 | 0.300 |
| STT_GR_0027_0035_371000_to_372800 | 31 | 1.80 | 0.613 | 0.290 | 0.516 | 0.484 |
| STT_GR_0027_0055_572500_to_575900 | 31 | 3.40 | 0.034 | 0.103 | 0.034 | 0.000 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0027_0012_149900_to_152000 | 38 | 2.10 | 0.486 | 0.568 | 0.676 | 0.649 |
| STT_GR_0027_0027_291200_to_293700 | 40 | 2.50 | 0.079 | 0.237 | 0.158 | 0.158 |
| STT_GR_0027_0066_674900_to_678300 | 40 | 3.40 | 0.289 | 0.395 | 0.237 | 0.237 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0027_0002_57400_to_61200 | 63 | 3.80 | 0.230 | 0.180 | 0.115 | 0.115 |
| STT_GR_0027_0056_576300_to_581900 | 62 | 5.60 | 0.306 | 0.081 | 0.194 | 0.161 |
| STT_GR_0027_0068_697800_to_701500 | 61 | 3.70 | 0.407 | 0.373 | 0.288 | 0.288 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0027_0039_422300_to_426600 | 64 | 4.30 | 0.210 | 0.161 | 0.129 | 0.129 |
| STT_GR_0027_0054_566800_to_570800 | 64 | 4.00 | 0.210 | 0.145 | 0.113 | 0.113 |
| STT_GR_0027_0058_587100_to_591500 | 67 | 4.40 | 0.262 | 0.138 | 0.031 | 0.062 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0027_0009_111200_to_114900 | 80 | 3.70 | 0.205 | 0.449 | 0.282 | 0.231 |
| STT_GR_0027_0016_187700_to_192000 | 75 | 4.30 | 0.123 | 0.247 | 0.192 | 0.178 |
| STT_GR_0027_0051_536500_to_541300 | 73 | 4.80 | 0.397 | 0.247 | 0.082 | 0.082 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0027_0020_226700_to_231800 | 98 | 5.10 | 0.320 | 0.351 | 0.361 | 0.351 |
| STT_GR_0027_0031_330700_to_336700 | 95 | 6.00 | 0.161 | 0.194 | 0.065 | 0.065 |
| STT_GR_0027_0034_359700_to_366800 | 97 | 7.10 | 0.168 | 0.168 | 0.158 | 0.147 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0027_0010_116100_to_122200 | 91 | 6.10 | 0.462 | 0.549 | 0.527 | 0.527 |
| STT_GR_0027_0038_398500_to_405900 | 91 | 7.40 | 0.236 | 0.303 | 0.180 | 0.135 |
| STT_GR_0027_0060_598900_to_603900 | 95 | 5.00 | 0.326 | 0.263 | 0.358 | 0.358 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0028_0022_169300_to_178000 | 122 | 8.70 | 0.133 | 0.167 | 0.100 | 0.100 |
| STT_GR_0028_0012_91800_to_100300 | 123 | 8.50 | 0.182 | 0.099 | 0.074 | 0.099 |
| STT_GR_0028_0095_729800_to_736800 | 126 | 7.00 | 0.144 | 0.120 | 0.088 | 0.088 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0028_0050_464000_to_466500 | 32 | 2.50 | 0.156 | 0.375 | 0.344 | 0.344 |
| STT_GR_0028_0066_513696_to_514943 | 39 | 1.25 | 0.462 | 0.436 | 0.410 | 0.385 |
| STT_GR_0028_0137_937232_to_938575 | 32 | 1.34 | 0.300 | 0.100 | 0.100 | 0.100 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0028_0125_910256_to_912175 | 47 | 1.92 | 0.298 | 0.489 | 0.191 | 0.213 |
| STT_GR_0028_0108_854216_to_856328 | 50 | 2.11 | 0.388 | 0.469 | 0.490 | 0.510 |
| STT_GR_0028_0013_100700_to_103100 | 46 | 2.40 | 0.489 | 0.067 | 0.000 | 0.000 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0028_0042_382500_to_387500 | 79 | 5.00 | 0.325 | 0.156 | 0.130 | 0.117 |
| STT_GR_0028_0004_34500_to_40200 | 79 | 5.70 | 0.312 | 0.117 | 0.130 | 0.104 |
| STT_GR_0028_0048_453900_to_459400 | 77 | 5.50 | 0.133 | 0.120 | 0.040 | 0.040 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0029_0193_1028988_to_1029947 | 26 | 0.96 | 0.042 | 0.042 | 0.125 | 0.125 |
| STT_GR_0029_0018_53068_to_54284 | 24 | 1.22 | 0.292 | 0.125 | 0.125 | 0.125 |
| STT_GR_0029_0179_956780_to_958028 | 24 | 1.25 | 0.273 | 0.364 | 0.318 | 0.227 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0030_0044_184923_to_186299 | 31 | 1.38 | 0.276 | 0.276 | 0.172 | 0.138 |
| STT_GR_0030_0070_282688_to_284703 | 31 | 2.02 | 0.000 | 0.069 | 0.000 | 0.000 |
| STT_GR_0030_0038_171512_to_172567 | 31 | 1.05 | 0.276 | 0.034 | 0.138 | 0.069 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0030_0014_55676_to_57147 | 33 | 1.47 | 0.258 | 0.161 | 0.290 | 0.290 |
| STT_GR_0030_0042_178392_to_179703 | 32 | 1.31 | 0.067 | 0.233 | 0.100 | 0.067 |
| STT_GR_0030_0090_324928_to_326784 | 33 | 1.86 | 0.594 | 0.281 | 0.125 | 0.094 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0030_0033_157495_to_159447 | 47 | 1.95 | 0.267 | 0.089 | 0.156 | 0.156 |
| STT_GR_0030_0034_159607_to_161815 | 50 | 2.21 | 0.229 | 0.333 | 0.146 | 0.146 |
| STT_GR_0030_0062_221628_to_224251 | 49 | 2.62 | 0.271 | 0.146 | 0.062 | 0.042 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0030_0041_175896_to_178263 | 52 | 2.37 | 0.120 | 0.140 | 0.100 | 0.120 |
| STT_GR_0030_0072_287104_to_289727 | 53 | 2.62 | 0.118 | 0.157 | 0.196 | 0.196 |
| STT_GR_0030_0048_191804_to_193947 | 51 | 2.14 | 0.184 | 0.367 | 0.082 | 0.041 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0030_0093_331263_to_334368 | 74 | 3.10 | 0.216 | 0.176 | 0.230 | 0.230 |
| STT_GR_0030_0086_315520_to_318464 | 78 | 2.94 | 0.250 | 0.211 | 0.355 | 0.355 |
| STT_GR_0030_0069_275700_to_281400 | 76 | 5.70 | 0.095 | 0.122 | 0.216 | 0.216 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0033_0090_193568_to_195872 | 45 | 2.30 | 0.356 | 0.622 | 0.511 | 0.489 |
| STT_GR_0033_0034_72924_to_75100 | 45 | 2.18 | 0.422 | 0.467 | 0.356 | 0.378 |
| STT_GR_0033_0061_129564_to_131772 | 45 | 2.21 | 0.378 | 0.289 | 0.267 | 0.267 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0033_0025_56251_to_58684 | 50 | 2.43 | 0.122 | 0.224 | 0.102 | 0.102 |
| STT_GR_0033_0046_97724_to_100284 | 49 | 2.56 | 0.438 | 0.375 | 0.250 | 0.250 |
| STT_GR_0033_0069_149120_to_151392 | 50 | 2.27 | 0.388 | 0.429 | 0.612 | 0.469 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0033_0056_119868_to_122076 | 46 | 2.21 | 0.250 | 0.523 | 0.455 | 0.455 |
| STT_GR_0033_0016_40092_to_42492 | 46 | 2.40 | 0.478 | 0.413 | 0.239 | 0.239 |
| STT_GR_0033_0088_189120_to_191296 | 46 | 2.18 | 0.422 | 0.467 | 0.311 | 0.311 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0033_0086_184160_to_186112 | 47 | 1.95 | 0.426 | 0.234 | 0.234 | 0.213 |
| STT_GR_0033_0092_198048_to_200256 | 48 | 2.21 | 0.261 | 0.565 | 0.348 | 0.348 |
| STT_GR_0033_0056_119868_to_122076 | 46 | 2.21 | 0.250 | 0.523 | 0.455 | 0.455 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0033_0003_13500_to_16380 | 55 | 2.88 | 0.400 | 0.309 | 0.273 | 0.273 |
| STT_GR_0033_0036_77596_to_79868 | 55 | 2.27 | 0.389 | 0.407 | 0.352 | 0.352 |
| STT_GR_0033_0081_175328_to_177504 | 55 | 2.18 | 0.132 | 0.245 | 0.189 | 0.189 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0033_0006_21660_to_23932 | 60 | 2.27 | 0.267 | 0.433 | 0.500 | 0.500 |
| STT_GR_0033_0066_139452_to_141948 | 57 | 2.50 | 0.589 | 0.357 | 0.304 | 0.304 |
| STT_GR_0033_0073_158848_to_161664 | 56 | 2.82 | 0.019 | 0.111 | 0.019 | 0.019 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0033_0060_126588_to_129148 | 51 | 2.56 | 0.431 | 0.510 | 0.549 | 0.510 |
| STT_GR_0033_0044_92476_to_95068 | 52 | 2.59 | 0.327 | 0.288 | 0.346 | 0.346 |
| STT_GR_0033_0072_155712_to_158304 | 51 | 2.59 | 0.627 | 0.471 | 0.451 | 0.451 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0034_1471_4212780_to_4213964 | 26 | 1.18 | 0.440 | 0.200 | 0.000 | 0.040 |
| STT_GR_0034_0593_1550536_to_1552200 | 25 | 1.66 | 0.304 | 0.000 | 0.087 | 0.000 |
| STT_GR_0034_1311_3752200_to_3753896 | 27 | 1.70 | 0.200 | 0.360 | 0.200 | 0.200 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0034_0869_2584816_to_2586416 | 34 | 1.60 | 0.094 | 0.125 | 0.281 | 0.281 |
| STT_GR_0034_1660_4715552_to_4717504 | 34 | 1.95 | 0.156 | 0.250 | 0.281 | 0.188 |
| STT_GR_0034_0153_412992_to_414496 | 35 | 1.50 | 0.303 | 0.424 | 0.485 | 0.515 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0034_0938_2756144_to_2758256 | 31 | 2.11 | 0.323 | 0.323 | 0.323 | 0.323 |
| STT_GR_0034_0451_1203024_to_1205648 | 32 | 2.62 | 0.267 | 0.033 | 0.100 | 0.100 |
| STT_GR_0034_2344_6339396_to_6340868 | 32 | 1.47 | 0.194 | 0.226 | 0.290 | 0.323 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0034_1381_3998444_to_4001324 | 51 | 2.88 | 0.569 | 0.333 | 0.451 | 0.431 |
| STT_GR_0034_0518_1347416_to_1351255 | 60 | 3.84 | 0.207 | 0.259 | 0.138 | 0.155 |
| STT_GR_0034_1325_3789968_to_3792048 | 57 | 2.08 | 0.145 | 0.273 | 0.273 | 0.236 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0035_2221_6133028_to_6136420 | 50 | 3.39 | 0.340 | 0.280 | 0.200 | 0.300 |
| STT_GR_0035_1196_3209379_to_3212803 | 45 | 3.42 | 0.047 | 0.279 | 0.209 | 0.279 |
| STT_GR_0035_0846_2180668_to_2182716 | 43 | 2.05 | 0.326 | 0.302 | 0.163 | 0.140 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0035_1670_4526080_to_4529120 | 59 | 3.04 | 0.661 | 0.458 | 0.542 | 0.559 |
| STT_GR_0035_2093_5831504_to_5833776 | 58 | 2.27 | 0.310 | 0.379 | 0.431 | 0.431 |
| STT_GR_0035_0467_1194540_to_1197388 | 51 | 2.85 | 0.392 | 0.333 | 0.294 | 0.275 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0037_1163_3045432_to_3047031 | 33 | 1.60 | 0.242 | 0.121 | 0.121 | 0.152 |
| STT_GR_0037_1435_4161823_to_4163871 | 38 | 2.05 | 0.553 | 0.474 | 0.368 | 0.421 |
| STT_GR_0037_0230_687932_to_689660 | 33 | 1.73 | 0.485 | 0.303 | 0.182 | 0.212 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0038_0565_2074824_to_2076552 | 33 | 1.73 | 0.258 | 0.194 | 0.161 | 0.129 |
| STT_GR_0038_1126_3488036_to_3489444 | 32 | 1.41 | 0.300 | 0.500 | 0.233 | 0.200 |
| STT_GR_0038_1100_3428268_to_3431180 | 32 | 2.91 | 0.367 | 0.400 | 0.467 | 0.500 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0038_0315_1275596_to_1278860 | 55 | 3.26 | 0.527 | 0.345 | 0.273 | 0.218 |
| STT_GR_0038_0902_2932240_to_2934608 | 55 | 2.37 | 0.527 | 0.273 | 0.200 | 0.200 |
| STT_GR_0038_0447_1815596_to_1819532 | 55 | 3.94 | 0.245 | 0.189 | 0.151 | 0.113 |
