| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
| STT_GR_0012_0154_771588_to_772388 | 22 | 0.80 | 0.000 | 0.333 | 0.000 | 0.000 |
| STT_GR_0012_0060_321300_to_322580 | 26 | 1.28 | 0.346 | 0.500 | 0.385 | 0.385 |
| STT_GR_0012_0176_845952_to_846976 | 21 | 1.02 | 0.105 | 0.000 | 0.000 | 0.000 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0012_0251_1183668_to_1185268 | 33 | 1.60 | 0.364 | 0.455 | 0.394 | 0.333 |
| STT_GR_0012_0315_1494432_to_1496224 | 39 | 1.79 | 0.410 | 0.410 | 0.231 | 0.231 |
| STT_GR_0012_0087_399592_to_400775 | 33 | 1.18 | 0.226 | 0.032 | 0.129 | 0.129 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0015_0016_85248_to_87552 | 35 | 2.30 | 0.273 | 0.485 | 0.182 | 0.182 |
| STT_GR_0015_0025_106944_to_108448 | 35 | 1.50 | 0.257 | 0.286 | 0.171 | 0.257 |
| STT_GR_0015_0010_73760_to_75264 | 37 | 1.50 | 0.114 | 0.229 | 0.257 | 0.257 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0017_0093_467811_to_469347 | 27 | 1.54 | 0.852 | 0.370 | 0.296 | 0.333 |
| STT_GR_0017_0091_461988_to_463171 | 22 | 1.18 | 0.050 | 0.200 | 0.050 | 0.000 |
| STT_GR_0017_0129_596352_to_597312 | 21 | 0.96 | 0.211 | 0.158 | 0.158 | 0.105 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0018_0006_27095_to_28087 | 26 | 0.99 | 0.423 | 0.308 | 0.308 | 0.308 |
| STT_GR_0018_0011_35096_to_36120 | 25 | 1.02 | 0.130 | 0.174 | 0.174 | 0.174 |
| STT_GR_0018_0008_29176_to_30488 | 25 | 1.31 | 0.130 | 0.261 | 0.087 | 0.087 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0018_0031_65976_to_68184 | 31 | 2.21 | 0.300 | 0.567 | 0.433 | 0.433 |
| STT_GR_0018_0004_23479_to_24855 | 31 | 1.38 | 0.138 | 0.207 | 0.103 | 0.172 |
| STT_GR_0018_0022_53848_to_55096 | 32 | 1.25 | 0.300 | 0.433 | 0.233 | 0.067 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0018_0005_25592_to_27000 | 36 | 1.41 | 0.472 | 0.556 | 0.500 | 0.528 |
| STT_GR_0018_0027_60184_to_61592 | 34 | 1.41 | 0.588 | 0.324 | 0.294 | 0.294 |
| STT_GR_0018_0017_43768_to_45432 | 37 | 1.66 | 0.622 | 0.486 | 0.541 | 0.486 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0019_0206_1133060_to_1134116 | 25 | 1.06 | 0.348 | 0.087 | 0.000 | 0.000 |
| STT_GR_0019_0311_1570936_to_1571672 | 22 | 0.74 | 0.250 | 0.500 | 0.400 | 0.400 |
| STT_GR_0019_0209_1136804_to_1137604 | 25 | 0.80 | 0.304 | 0.391 | 0.348 | 0.478 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0019_0322_1587672_to_1588856 | 25 | 1.18 | 0.043 | 0.130 | 0.174 | 0.174 |
| STT_GR_0019_0125_516563_to_517747 | 25 | 1.18 | 0.280 | 0.120 | 0.160 | 0.320 |
| STT_GR_0019_0116_501075_to_502164 | 23 | 1.09 | 0.333 | 0.286 | 0.286 | 0.333 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0019_0042_314024_to_315048 | 27 | 1.02 | 0.120 | 0.040 | 0.080 | 0.080 |
| STT_GR_0019_0049_332072_to_333352 | 27 | 1.28 | 0.040 | 0.080 | 0.120 | 0.040 |
| STT_GR_0019_0191_965600_to_967500 | 28 | 1.90 | 0.115 | 0.154 | 0.077 | 0.077 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0019_0261_1340904_to_1341992 | 26 | 1.09 | 0.167 | 0.125 | 0.125 | 0.125 |
| STT_GR_0019_0288_1434468_to_1435524 | 26 | 1.06 | 0.375 | 0.500 | 0.667 | 0.667 |
